Key,TeamID,PlayerID,City,Name,Conference,Division,FullName,StadiumID,ByeWeek,AverageDraftPosition,AverageDraftPositionPPR,HeadCoach,OffensiveCoordinator,DefensiveCoordinator,SpecialTeamsCoach,OffensiveScheme,DefensiveScheme,UpcomingSalary,UpcomingOpponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,UpcomingFanDuelSalary,UpcomingDraftKingsSalary,UpcomingYahooSalary,PrimaryColor,SecondaryColor,TertiaryColor,QuaternaryColor,WikipediaLogoUrl,WikipediaWordMarkUrl,GlobalTeamID,DraftKingsName,DraftKingsPlayerID,FanDuelName,FanDuelPlayerID,FantasyDraftName,FantasyDraftPlayerID,YahooName,YahooPlayerID,AverageDraftPosition2QB,AverageDraftPositionDynasty,StadiumDetails
MIN,20,67,Minnesota,Vikings,NFC,North,Minnesota Vikings,42,6,288.3,264.7,Kevin O'Connell,Wes Phillips,Brian Flores,Matt Daniels,3WR,3-4,3878,Scrambled,27,27,6238.0,3878.0,20.0,4F2683,FFC62F,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/4/48/Minnesota_Vikings_logo.svg,https://upload.wikimedia.org/wikipedia/commons/9/9d/Minnesota_Vikings_wordmark.svg,20,Vikings ,347,Minnesota Vikings,12540,Minnesota Vikings,347,Minnesota Vikings,100016,254.4,260.5,"{'StadiumID': 42, 'Name': 'U.S. Bank Stadium', 'City': 'Minneapolis', 'State': 'MN', 'Country': 'USA', 'Capacity': 66655, 'PlayingSurface': 'Artificial', 'GeoLat': 44.974288, 'GeoLong': -93.258, 'Type': 'Dome'}"
NE,21,21,New England,Patriots,AFC,East,New England Patriots,4,14,435.0,404.6,Mike Vrabel,Josh McDaniels,Terrell Williams,Jeremy Springer,3WR,3-4,4384,Scrambled,20,20,8093.0,4384.0,25.0,002244,C60C30,B0B7BC,FFFFFF,https://upload.wikimedia.org/wikipedia/en/b/b9/New_England_Patriots_logo.svg,https://upload.wikimedia.org/wikipedia/commons/f/f5/New_England_Patriots_wordmark.svg,21,Patriots ,348,New England Patriots,12541,New England Patriots,348,New England Patriots,100017,278.4,267.2,"{'StadiumID': 4, 'Name': 'Gillette Stadium', 'City': 'Foxborough', 'State': 'MA', 'Country': 'USA', 'Capacity': 64628, 'PlayingSurface': 'Artificial', 'GeoLat': 42.090866, 'GeoLong': -71.264244, 'Type': 'Outdoor'}"
NO,22,69,New Orleans,Saints,NFC,South,New Orleans Saints,27,11,588.4,460.3,Kellen Moore,Doug Nussmeier,Brandon Staley,Phil Galiano,3WR,4-3,4046,Scrambled,42,42,5732.0,4046.0,17.0,D3BC8D,000000,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/5/50/New_Orleans_Saints_logo.svg,https://upload.wikimedia.org/wikipedia/commons/1/10/New_Orleans_Saints_first_wordmark.png,22,Saints ,350,New Orleans Saints,12542,New Orleans Saints,350,New Orleans Saints,100018,237.6,288.3,"{'StadiumID': 27, 'Name': 'Caesars Superdome', 'City': 'New Orleans', 'State': 'LA', 'Country': 'USA', 'Capacity': 73208, 'PlayingSurface': 'Artificial', 'GeoLat': 29.950833, 'GeoLong': -90.081111, 'Type': 'Dome'}"
NYG,23,75,New York,Giants,NFC,East,New York Giants,3,14,418.1,377.7,Brain Daboll,Mike Kafka,Shane Bowen,Michael Ghobrial,3WR,3-4,4215,Scrambled,13,13,5227.0,4215.0,17.0,0B2265,A71930,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/6/60/New_York_Giants_logo.svg,https://upload.wikimedia.org/wikipedia/commons/4/4f/Nygiants_textlogo.png,23,Giants ,351,New York Giants,12543,New York Giants,351,New York Giants,100019,208.4,267.7,"{'StadiumID': 3, 'Name': 'MetLife Stadium', 'City': 'East Rutherford', 'State': 'NJ', 'Country': 'USA', 'Capacity': 82500, 'PlayingSurface': 'Artificial', 'GeoLat': 40.813528, 'GeoLong': -74.074361, 'Type': 'Outdoor'}"
NYJ,24,82,New York,Jets,AFC,East,New York Jets,3,9,419.8,374.3,Aaron Glenn,Tanner Engstrand,Steve Wilks,Chris Banjo,3WR,4-3,4721,Scrambled,47,47,6744.0,4721.0,17.0,115740,FFFFFF,000000,,https://upload.wikimedia.org/wikipedia/commons/6/69/New_York_Jets_2024.svg,https://upload.wikimedia.org/wikipedia/commons/e/ef/New_York_Jets_2024_%28wordmark%29.svg,24,Jets ,352,New York Jets,12544,New York Jets,352,New York Jets,100020,253.9,291.7,"{'StadiumID': 3, 'Name': 'MetLife Stadium', 'City': 'East Rutherford', 'State': 'NJ', 'Country': 'USA', 'Capacity': 82500, 'PlayingSurface': 'Artificial', 'GeoLat': 40.813528, 'GeoLong': -74.074361, 'Type': 'Outdoor'}"
PHI,26,26,Philadelphia,Eagles,NFC,East,Philadelphia Eagles,18,9,249.5,214.1,Nick Sirianni,Kevin Patullo,Vic Fangio,Michael Clay,3WR,3-4,4889,Scrambled,11,11,7250.0,4889.0,20.0,004851,A2AAAD,000000,FFFFFF,https://upload.wikimedia.org/wikipedia/en/8/8e/Philadelphia_Eagles_logo.svg,https://upload.wikimedia.org/wikipedia/commons/a/a5/Eagles_New_Wordmark_2022-present.png,26,Eagles ,354,Philadelphia Eagles,12545,Philadelphia Eagles,354,Philadelphia Eagles,100021,222.0,254.1,"{'StadiumID': 18, 'Name': 'Lincoln Financial Field', 'City': 'Philadelphia', 'State': 'PA', 'Country': 'USA', 'Capacity': 67594, 'PlayingSurface': 'Grass', 'GeoLat': 39.900833, 'GeoLong': -75.167469, 'Type': 'Outdoor'}"
PIT,28,28,Pittsburgh,Steelers,AFC,North,Pittsburgh Steelers,8,5,266.4,236.0,Mike Tomlin,Arthur Smith,Teryl Austin,Danny Smith,3WR,3-4,4721,Scrambled,37,37,7250.0,4721.0,22.0,000000,FFB612,,,https://upload.wikimedia.org/wikipedia/commons/d/de/Pittsburgh_Steelers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/9/92/Pittsburgh_Steelers_Script.svg,28,Steelers ,356,Pittsburgh Steelers,12547,Pittsburgh Steelers,356,Pittsburgh Steelers,100023,219.7,267.2,"{'StadiumID': 8, 'Name': 'Acrisure Stadium', 'City': 'Pittsburgh', 'State': 'PA', 'Country': 'USA', 'Capacity': 68400, 'PlayingSurface': 'Grass', 'GeoLat': 40.446667, 'GeoLong': -80.015833, 'Type': 'Outdoor'}"
SEA,30,90,Seattle,Seahawks,NFC,West,Seattle Seahawks,31,8,386.1,362.5,Mike Macdonald,Klint Kubiak,Aden Durde,Jay Harbaugh,3WR,3-4,6070,Scrambled,40,40,8430.0,6070.0,30.0,002244,69BE28,A5ACAF,,https://upload.wikimedia.org/wikipedia/en/8/8e/Seattle_Seahawks_logo.svg,https://upload.wikimedia.org/wikipedia/commons/d/df/Seattle_Seahawks_wordmark.svg,30,Seahawks ,361,Seattle Seahawks,12550,Seattle Seahawks,361,Seattle Seahawks,100026,268.1,185.3,"{'StadiumID': 31, 'Name': 'Lumen Field', 'City': 'Seattle', 'State': 'WA', 'Country': 'USA', 'Capacity': 68740, 'PlayingSurface': 'Artificial', 'GeoLat': 47.5952, 'GeoLong': -122.331625, 'Type': 'Outdoor'}"
SF,31,93,San Francisco,49ers,NFC,West,San Francisco 49ers,37,14,333.8,296.7,Kyle Shanahan,Klay Kubiak,Robert Saleh,Brant Boyer,3WR,4-3,4552,Scrambled,17,17,5564.0,4552.0,17.0,AA0000,B3995D,,,https://upload.wikimedia.org/wikipedia/commons/3/3a/San_Francisco_49ers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/6/67/San_Francisco_49ers_Saloon_Wordmark.svg,31,49ers ,359,San Francisco 49ers,12549,San Francisco 49ers,359,San Francisco 49ers,100025,264.2,228.6,"{'StadiumID': 37, 'Name': ""Levi's Stadium"", 'City': 'Santa Clara', 'State': 'CA', 'Country': 'USA', 'Capacity': 68500, 'PlayingSurface': 'Grass', 'GeoLat': 37.403, 'GeoLong': -121.970274, 'Type': 'Outdoor'}"
TB,33,95,Tampa Bay,Buccaneers,NFC,South,Tampa Bay Buccaneers,24,9,396.2,394.5,Todd Bowles,Josh Gizzard,Kacy Rodgers & Larry Foote,Thomas McGaughey,3WR,3-4,4552,Scrambled,35,35,6575.0,4552.0,27.0,A71930,322F2B,DC4405,000000,https://upload.wikimedia.org/wikipedia/en/a/a2/Tampa_Bay_Buccaneers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/a/ab/Tampa_Bay_Buccaneers_wordmark.svg,33,Buccaneers ,362,Tampa Bay Buccaneers,12551,Tampa Bay Buccaneers,362,Tampa Bay Buccaneers,100027,254.9,244.3,"{'StadiumID': 24, 'Name': 'Raymond James Stadium', 'City': 'Tampa Bay', 'State': 'FL', 'Country': 'USA', 'Capacity': 69218, 'PlayingSurface': 'Grass', 'GeoLat': 27.975833, 'GeoLong': -82.503333, 'Type': 'Outdoor'}"
