GameKey,SeasonType,Season,Week,Date,AwayTeam,HomeTeam,Channel,PointSpread,OverUnder,StadiumID,Canceled,GeoLat,GeoLong,ForecastTempLow,ForecastTempHigh,ForecastDescription,ForecastWindChill,ForecastWindSpeed,AwayTeamMoneyLine,HomeTeamMoneyLine,Day,DateTime,GlobalGameID,GlobalAwayTeamID,GlobalHomeTeamID,ScoreID,Status,IsClosed,DateTimeUTC,StadiumDetails
202411520,1,2024,15,2024-12-16T20:00:00,CHI,MIN,ABC,-2.7,43.5,42.0,False,,,26.0,29.0,Overcast Clouds,20.0,11,102.0,-125.0,2024-12-16T00:00:00,2024-12-16T20:00:00,18878,6,20,18878,Final,,2024-12-17T01:00:00,"{'StadiumID': 42, 'Name': 'U.S. Bank Stadium', 'City': 'Minneapolis', 'State': 'MN', 'Country': 'USA', 'Capacity': 66655, 'PlayingSurface': 'Artificial', 'GeoLat': 44.974288, 'GeoLong': -93.258, 'Type': 'Dome'}"
202411525,1,2024,15,2024-12-16T20:30:00,ATL,LV,ESPN,0.9,44.5,53.0,False,,,43.0,46.0,Clear Sky,45.0,3,-110.0,91.0,2024-12-16T00:00:00,2024-12-16T20:30:00,18877,2,25,18877,Final,,2024-12-17T01:30:00,"{'StadiumID': 53, 'Name': 'Allegiant Stadium', 'City': 'Las Vegas', 'State': 'NV', 'Country': 'USA', 'Capacity': 65000, 'PlayingSurface': 'Grass', 'GeoLat': 36.090833, 'GeoLong': -115.183611, 'Type': 'Dome'}"
202411629,1,2024,16,2024-12-19T20:15:00,DEN,LAC,AMZN,-1.1,41.5,54.0,False,,,62.0,62.0,Scattered Clouds,62.0,2,50.0,-59.0,2024-12-19T00:00:00,2024-12-19T20:15:00,18897,10,29,18897,Final,,2024-12-20T01:15:00,"{'StadiumID': 54, 'Name': 'SoFi Stadium', 'City': 'Inglewood', 'State': 'CA', 'Country': 'USA', 'Capacity': 70240, 'PlayingSurface': 'Artificial', 'GeoLat': 33.95345, 'GeoLong': -118.3392, 'Type': 'Dome'}"
202411616,1,2024,16,2024-12-21T13:00:00,HOU,KC,NBC,-1.1,42.5,15.0,False,,,26.0,27.0,Clear Sky,19.0,7,59.0,-70.0,2024-12-21T00:00:00,2024-12-21T13:00:00,18907,13,16,18907,Final,,2024-12-21T18:00:00,"{'StadiumID': 15, 'Name': 'Arrowhead Stadium', 'City': 'Kansas City', 'State': 'MO', 'Country': 'USA', 'Capacity': 76416, 'PlayingSurface': 'Grass', 'GeoLat': 39.048889, 'GeoLong': -94.483889, 'Type': 'Outdoor'}"
202411603,1,2024,16,2024-12-21T16:30:00,PIT,BAL,FOX,-2.7,44.0,7.0,False,,,25.0,26.0,Broken Clouds,16.0,12,106.0,-132.0,2024-12-21T00:00:00,2024-12-21T16:30:00,18906,28,3,18906,Final,,2024-12-21T21:30:00,"{'StadiumID': 7, 'Name': 'M&T Bank Stadium', 'City': 'Baltimore', 'State': 'MD', 'Country': 'USA', 'Capacity': 71008, 'PlayingSurface': 'Grass', 'GeoLat': 39.278056, 'GeoLong': -76.622778, 'Type': 'Outdoor'}"
202411602,1,2024,16,2024-12-22T13:00:00,NYG,ATL,FOX,-3.6,43.0,45.0,False,,,34.0,37.0,Clear Sky,28.0,6,144.0,-187.0,2024-12-22T00:00:00,2024-12-22T13:00:00,18899,23,2,18899,Final,,2024-12-22T18:00:00,"{'StadiumID': 45, 'Name': 'Mercedes-Benz Stadium', 'City': 'Atlanta', 'State': 'GA', 'Country': 'USA', 'Capacity': 71000, 'PlayingSurface': 'Artificial', 'GeoLat': 33.755556, 'GeoLong': -84.401, 'Type': 'RetractableDome'}"
202411605,1,2024,16,2024-12-22T13:00:00,ARI,CAR,FOX,0.8,47.0,26.0,False,,,28.0,31.0,Clear Sky,23.0,4,-97.0,81.0,2024-12-22T00:00:00,2024-12-22T13:00:00,18901,1,5,18901,F/OT,,2024-12-22T18:00:00,"{'StadiumID': 26, 'Name': 'Bank of America Stadium', 'City': 'Charlotte', 'State': 'NC', 'Country': 'USA', 'Capacity': 74867, 'PlayingSurface': 'Artificial', 'GeoLat': 35.225833, 'GeoLong': -80.852778, 'Type': 'Outdoor'}"
202411606,1,2024,16,2024-12-22T13:00:00,DET,CHI,FOX,0.9,47.5,20.0,False,,,32.0,33.0,Overcast Clouds,23.0,15,-125.0,102.0,2024-12-22T00:00:00,2024-12-22T13:00:00,18902,11,6,18902,Final,,2024-12-22T18:00:00,"{'StadiumID': 20, 'Name': 'Soldier Field', 'City': 'Chicago', 'State': 'IL', 'Country': 'USA', 'Capacity': 61500, 'PlayingSurface': 'Grass', 'GeoLat': 41.86232, 'GeoLong': -87.616699, 'Type': 'Outdoor'}"
202411607,1,2024,16,2024-12-22T13:00:00,CLE,CIN,CBS,-3.8,46.0,5.0,False,,,27.0,28.0,Clear Sky,22.0,5,154.0,-205.0,2024-12-22T00:00:00,2024-12-22T13:00:00,18908,8,7,18908,Final,,2024-12-22T18:00:00,"{'StadiumID': 5, 'Name': 'Paycor Stadium', 'City': 'Cincinnati', 'State': 'OH', 'Country': 'USA', 'Capacity': 65515, 'PlayingSurface': 'Artificial', 'GeoLat': 39.095309, 'GeoLong': -84.516003, 'Type': 'Outdoor'}"
202411614,1,2024,16,2024-12-22T13:00:00,TEN,IND,CBS,-1.5,42.5,9.0,False,,,28.0,29.0,Scattered Clouds,21.0,9,66.0,-78.0,2024-12-22T00:00:00,2024-12-22T13:00:00,18903,34,14,18903,Final,,2024-12-22T18:00:00,"{'StadiumID': 9, 'Name': 'Lucas Oil Stadium', 'City': 'Indianapolis', 'State': 'IN', 'Country': 'USA', 'Capacity': 67000, 'PlayingSurface': 'Artificial', 'GeoLat': 39.760056, 'GeoLong': -86.163806, 'Type': 'RetractableDome'}"
202411624,1,2024,16,2024-12-22T13:00:00,LAR,NYJ,CBS,0.4,47.0,3.0,False,,,13.0,19.0,Clear Sky,5.0,5,-61.0,52.0,2024-12-22T00:00:00,2024-12-22T13:00:00,18904,32,24,18904,Final,,2024-12-22T18:00:00,"{'StadiumID': 3, 'Name': 'MetLife Stadium', 'City': 'East Rutherford', 'State': 'NJ', 'Country': 'USA', 'Capacity': 82500, 'PlayingSurface': 'Artificial', 'GeoLat': 40.813528, 'GeoLong': -74.074361, 'Type': 'Outdoor'}"
202411635,1,2024,16,2024-12-22T13:00:00,PHI,WAS,FOX,0.6,47.0,19.0,False,,,21.0,23.0,Clear Sky,21.0,3,-83.0,69.0,2024-12-22T00:00:00,2024-12-22T13:00:00,18905,26,35,18905,Final,,2024-12-22T18:00:00,"{'StadiumID': 19, 'Name': 'Northwest Stadium', 'City': 'Landover', 'State': 'MD', 'Country': 'USA', 'Capacity': 62000, 'PlayingSurface': 'Grass', 'GeoLat': 38.907778, 'GeoLong': -76.864444, 'Type': 'Outdoor'}"
202411630,1,2024,16,2024-12-22T16:05:00,MIN,SEA,FOX,0.4,43.0,31.0,False,,,46.0,49.0,Light Rain,46.0,8,-53.0,45.0,2024-12-22T00:00:00,2024-12-22T16:05:00,18898,20,30,18898,Final,,2024-12-22T21:05:00,"{'StadiumID': 31, 'Name': 'Lumen Field', 'City': 'Seattle', 'State': 'WA', 'Country': 'USA', 'Capacity': 68740, 'PlayingSurface': 'Artificial', 'GeoLat': 47.5952, 'GeoLong': -122.331625, 'Type': 'Outdoor'}"
202411604,1,2024,16,2024-12-22T16:25:00,NE,BUF,CBS,-5.3,48.0,1.0,False,,,8.0,9.0,Overcast Clouds,0.0,5,256.0,-379.0,2024-12-22T00:00:00,2024-12-22T16:25:00,18900,21,4,18900,Final,,2024-12-22T21:25:00,"{'StadiumID': 1, 'Name': 'Highmark Stadium', 'City': 'Orchard Park', 'State': 'NY', 'Country': 'USA', 'Capacity': 71608, 'PlayingSurface': 'Artificial', 'GeoLat': 42.773758, 'GeoLong': -78.786837, 'Type': 'Outdoor'}"
202411625,1,2024,16,2024-12-22T16:25:00,JAX,LV,CBS,-0.8,41.5,53.0,False,,,50.0,56.0,Scattered Clouds,56.0,1,43.0,-51.0,2024-12-22T00:00:00,2024-12-22T16:25:00,18895,15,25,18895,Final,,2024-12-22T21:25:00,"{'StadiumID': 53, 'Name': 'Allegiant Stadium', 'City': 'Las Vegas', 'State': 'NV', 'Country': 'USA', 'Capacity': 65000, 'PlayingSurface': 'Grass', 'GeoLat': 36.090833, 'GeoLong': -115.183611, 'Type': 'Dome'}"
202411619,1,2024,16,2024-12-22T16:25:00,SF,MIA,CBS,0.2,44.0,2.0,False,,,63.0,70.0,Clear Sky,63.0,5,-47.0,40.0,2024-12-22T00:00:00,2024-12-22T16:25:00,18896,31,19,18896,Final,,2024-12-22T21:25:00,"{'StadiumID': 2, 'Name': 'Hard Rock Stadium', 'City': 'Miami Gardens', 'State': 'FL', 'Country': 'USA', 'Capacity': 64767, 'PlayingSurface': 'Grass', 'GeoLat': 25.958056, 'GeoLong': -80.238889, 'Type': 'Outdoor'}"
202411609,1,2024,16,2024-12-22T20:20:00,TB,DAL,NBC,0.7,47.0,17.0,False,,,56.0,56.0,Scattered Clouds,56.0,15,-87.0,72.0,2024-12-22T00:00:00,2024-12-22T20:20:00,18894,33,9,18894,Final,,2024-12-23T01:20:00,"{'StadiumID': 17, 'Name': 'AT&T Stadium', 'City': 'Arlington', 'State': 'TX', 'Country': 'USA', 'Capacity': 80000, 'PlayingSurface': 'Artificial', 'GeoLat': 32.747778, 'GeoLong': -97.092778, 'Type': 'RetractableDome'}"
202411612,1,2024,16,2024-12-23T20:15:00,NO,GB,ESPN,-5.3,43.5,22.0,False,,,23.0,32.0,Overcast Clouds,25.0,8,269.0,-423.0,2024-12-23T00:00:00,2024-12-23T20:15:00,18893,22,12,18893,Final,,2024-12-24T01:15:00,"{'StadiumID': 22, 'Name': 'Lambeau Field', 'City': 'Green Bay', 'State': 'WI', 'Country': 'USA', 'Capacity': 81441, 'PlayingSurface': 'Grass', 'GeoLat': 44.501389, 'GeoLong': -88.062222, 'Type': 'Outdoor'}"
202411728,1,2024,17,2024-12-25T13:00:00,KC,PIT,NFLX,0.2,46.0,8.0,False,,,33.0,37.0,Overcast Clouds,37.0,3,-50.0,43.0,2024-12-25T00:00:00,2024-12-25T13:00:00,18919,16,28,18919,Final,,2024-12-25T18:00:00,"{'StadiumID': 8, 'Name': 'Acrisure Stadium', 'City': 'Pittsburgh', 'State': 'PA', 'Country': 'USA', 'Capacity': 68400, 'PlayingSurface': 'Grass', 'GeoLat': 40.446667, 'GeoLong': -80.015833, 'Type': 'Outdoor'}"
202411713,1,2024,17,2024-12-25T16:30:00,BAL,HOU,NFLX,0.9,47.5,11.0,False,,,63.0,63.0,Overcast Clouds,63.0,7,-118.0,96.0,2024-12-25T00:00:00,2024-12-25T16:30:00,18918,3,13,18918,Final,,2024-12-25T21:30:00,"{'StadiumID': 11, 'Name': 'NRG Stadium', 'City': 'Houston', 'State': 'TX', 'Country': 'USA', 'Capacity': 72220, 'PlayingSurface': 'Artificial', 'GeoLat': 29.684722, 'GeoLong': -95.410833, 'Type': 'RetractableDome'}"
202411706,1,2024,17,2024-12-26T20:15:00,SEA,CHI,AMZN,0.6,42.0,20.0,False,,,43.0,47.0,Light Rain,45.0,6,-83.0,69.0,2024-12-26T00:00:00,2024-12-26T20:15:00,18917,30,6,18917,Final,,2024-12-27T01:15:00,"{'StadiumID': 20, 'Name': 'Soldier Field', 'City': 'Chicago', 'State': 'IL', 'Country': 'USA', 'Capacity': 61500, 'PlayingSurface': 'Grass', 'GeoLat': 41.86232, 'GeoLong': -87.616699, 'Type': 'Outdoor'}"
202411721,1,2024,17,2024-12-28T13:00:00,LAC,NE,NFLN,0.9,41.5,4.0,False,,,40.0,41.0,Overcast Clouds,38.0,5,-109.0,90.0,2024-12-28T00:00:00,2024-12-28T13:00:00,18939,29,21,18939,Final,,2024-12-28T18:00:00,"{'StadiumID': 4, 'Name': 'Gillette Stadium', 'City': 'Foxborough', 'State': 'MA', 'Country': 'USA', 'Capacity': 64628, 'PlayingSurface': 'Artificial', 'GeoLat': 42.090866, 'GeoLong': -71.264244, 'Type': 'Outdoor'}"
202411707,1,2024,17,2024-12-28T16:30:00,DEN,CIN,NFLN,-1.1,50.5,5.0,False,,,56.0,56.0,Moderate Rain,56.0,11,56.0,-66.0,2024-12-28T00:00:00,2024-12-28T16:30:00,18937,10,7,18937,F/OT,,2024-12-28T21:30:00,"{'StadiumID': 5, 'Name': 'Paycor Stadium', 'City': 'Cincinnati', 'State': 'OH', 'Country': 'USA', 'Capacity': 65515, 'PlayingSurface': 'Artificial', 'GeoLat': 39.095309, 'GeoLong': -84.516003, 'Type': 'Outdoor'}"
