PlayerID,Name,Team,Week,pass_yds,rush_yds,recv_yds,tds,fumbles,total_yards,efficiency
21931,Geno Stone,CIN,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20875,DK Metcalf,PIT,7,0.0,0.0,76.8,0.0,0.0,76.8,0.0
21281,Andrew Wingard,JAX,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21869,DaVon Hamilton,JAX,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22686,Dyami Brown,JAX,7,0.0,0.0,76.8,0.0,0.0,76.8,0.0
25121,Joshua Karty,LAR,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24929,Trevin Wallace,CAR,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25992,Mason Graham,CLE,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23365,Trent McDuffie,KC,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25349,Jonah Laulu,LV,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21879,Jonathan Greenard,MIN,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24097,Christian Gonzalez,NE,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25217,Jarvis Brownlee Jr.,NYJ,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24114,Jalen Carter,PHI,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16960,Quandre Diggs,TEN,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23460,Roger McCreary,TEN,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18478,Wil Lutz,DEN,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26210,Que Robinson,DEN,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20897,Bobby Okereke,NYG,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3341,Calais Campbell,ARI,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25165,Max Melton,ARI,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22904,Isaiah McDuffie,GB,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24959,Javon Bullard,GB,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25021,Edgerrin Cooper,GB,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
